P(boxes|massive) = 0.16666666666666666
P(place|taken) = 0.07142857142857142
P(it|invested) = 1.0
P(would|was) = 0.0007092198581560284
P(to|up) = 0.11920529801324503
P(kind|be) = 0.001594896331738437
P(with|pie) = 1.0
P(in|lying) = 0.15384615384615385
P(me|brings) = 0.5
P(both|left) = 0.010869565217391304
P(fiery|with) = 0.0012077294685990338
P(what|for) = 0.008264462809917356
P(endeavouring|from) = 0.002012072434607646
P(back|going) = 0.03125
P(apply|would) = 0.0030581039755351682
P(injury|any) = 0.0078125
P(and|definite) = 0.125
P(that|good) = 0.007352941176470588
P(little|homely) = 0.25
P(reclaim|to) = 0.0003645643456069996
P(bridge|london) = 0.024390243902439025
P(fifteen|from) = 0.002012072434607646
P(accepted|have) = 0.0010822510822510823
P(a|business) = 0.0273972602739726
P(one|twenty) = 0.041666666666666664
P(no|size) = 0.14285714285714285
P(for|subject) = 0.08333333333333333
P(rotterdam|in) = 0.0005672149744753262
P(upon|hat) = 0.04081632653061224
P(secret|the) = 0.0003563791874554526
P(i|results) = 0.08333333333333333
P(this|get) = 0.016129032258064516
P(his|gave) = 0.021739130434782608
P(suddenly|then) = 0.02997275204359673
P(downstairs|scuffle) = 0.3333333333333333
P(gray|the) = 0.0007127583749109052
P(the|avoid) = 0.3333333333333333
P(and|wall) = 0.15384615384615385
P(bad|the) = 0.0003563791874554526
P(anxiety|great) = 0.016666666666666666
P(every|five) = 0.02564102564102564
P(people|keep) = 0.037037037037037035
P(station|to) = 0.0003645643456069996
P(as|coat) = 0.037037037037037035
P(i|detail) = 0.2
P(which|child) = 0.05263157894736842
P(beside|standing) = 0.043478260869565216
P(slowly|go) = 0.010101010101010102
P(on|be) = 0.004784688995215311
P(upon|lounging) = 0.2
P(but|me) = 0.026771653543307086
P(also|know) = 0.0058823529411764705
P(respectable|and) = 0.0006629101756711965
P(dissatisfied|feel) = 0.058823529411764705
P(so|mysteries) = 0.3333333333333333
P(wish|did) = 0.006578947368421052
P(was|man) = 0.020689655172413793
P(to|going) = 0.25
P(wondering|just) = 0.008
P(this|done) = 0.014925373134328358
P(before|was) = 0.0007092198581560284
P(as|end) = 0.017543859649122806
P(as|cannot) = 0.0392156862745098
P(do|could) = 0.021052631578947368
P(danger|greatest) = 0.16666666666666666
P(alone|words) = 0.021739130434782608
P(thoroughly|has) = 0.0035335689045936395
P(and|curiosity) = 0.1111111111111111
P(before|never) = 0.009259259259259259
P(the|attract) = 1.0
P(absolutely|not) = 0.0015723270440251573
P(in|trick) = 0.2
P(death|cried) = 0.014492753623188406
P(hansom|first) = 0.011627906976744186
P(them|with) = 0.00966183574879227
P(is|also) = 0.019230769230769232
P(exceedingly|so) = 0.002232142857142857
P(exit|other) = 0.006802721088435374
P(as|near) = 0.03225806451612903
P(experience|considerable) = 0.047619047619047616
P(us|watched) = 0.16666666666666666
P(yes|cab) = 0.038461538461538464
P(at|will) = 0.003816793893129771
P(heavy|over) = 0.00546448087431694
P(the|matters) = 0.05
P(but|left) = 0.010869565217391304
P(oh|life) = 0.020833333333333332
P(sly|and) = 0.00033145508783559825
P(appears|principle) = 1.0
P(englishman|silent) = 0.05555555555555555
P(fee|the) = 0.0001781895937277263
P(furniture|any) = 0.0078125
P(of|limits) = 0.3333333333333333
P(an|by) = 0.011494252873563218
P(very|ah) = 0.03125
P(overstrung|my) = 0.0009930486593843098
P(father|affectionate) = 1.0
P(slippers|my) = 0.0009930486593843098
P(so|broken) = 0.08333333333333333
P(much|and) = 0.0006629101756711965
